Class,Title,Units,Prereq,Coreq
BIOSC 146,Principles of Microbiology,5,CHEM 108,N
BIOSC 161,Fundamentals of Marine Biology,3,N,N
BIOSC 162,Fundamentals of Marine Biology with Laboratory,4,N,N
BIOSC 170,Environmental Science,3,N,N
BIOSC 171,Environmental Science with Laboratory,4,N,N
,,,,
Business,Business,Business,Business,Business
BUS 109,Introduction to Business,3,N,N
BUS 240,Business Statistics,3,N,N
BUS 294,Business Law,3,BUS 109,N
,,,,
Business Accounting,Business Accounting,Business Accounting,Business Accounting,Business Accounting
BUSAC 186,Financial Accounting,4,N,N
BUSAC 187,Managerial Accounting,4,BUSAC 186,N
,,,,
Business Marketing,Business Marketing,Business Marketing,Business Marketing,Business Marketing
BUSMK 258,Advertising and Gender,3,N,N
,,,,
Career Development,Career Development,Career Development,Career Development,Career Development
CARER 100,College and Career Readiness I,1.5,N,N
CARER 101,College and Career Readiness II,1.5,CARER 100,N
CARER 110,Career and Life Planning,3,N,N
,,,,
Chemistry,Chemistry,Chemistry,Chemistry,Chemistry
CHEM 106,Chemistry for Non-Science Majors,4,N,N
CHEM 107,"Integrated Inorganic, Organic, and Biological Chemistry",5,N,N
CHEM 108,Introductory Chemistry,4,N,N
CHEM 109,Introduction to Organic and Biochemistry,4,CHEM 108,N
CHEM 120,General College Chemistry I,5,CHEM 108,N
CHEM 121,General College Chemistry II,5,CHEM 120,N
CHEM 226,Organic Chemistry I,5,CHEM 121,N
CHEM 227,Organic Chemistry II,5,CHEM 227,N
,,,,
Chinese,Chinese,Chinese,Chinese,Chinese
CHIN 120,First Term Mandarin Chinese,5,N,N
CHIN 121,Second Term Mandarin Chinese,5,CHIN 120,N
CHIN 220,Third Term Mandarin Chinese,5,CHIN 121,N
CHIN 221,Fourth Term Mandarin Chinese,5,CHIN 220,N
,,,,
Communication Studies,Communication Studies,Communication Studies,Communication Studies,Communication Studies
COMM 120,Public Speaking,3,N,N
COMM 121,Persuasion and Critical Thinking,3,ENGL 122,N
COMM 123,Argumentation and Debate,3,N,N
COMM 124,Voice and Diction,3,N,N
COMM 125,Intercultural Communication,3,N,N
COMM 128,Interpersonal Communication,3,N,N
COMM 130,Small Group Communication,3,N,N
COMM 148,Performance of Literature,3,N,N
COMM 163,Forensics - Speech and Debate,1.50 - 4.00,N,N
COMM 180,Introduction to Communication Theory,3,N,N
,,,,
Computer Science,Computer Science,Computer Science,Computer Science,Computer Science
COMSC 101,Computer Literacy,4,N,N
COMSC 110,Introduction to Programming,4,N,N
COMSC 140,Python Programming,3,N,N
COMSC 165,Advanced Programming with C and C++,4,COMSC 110,N
COMSC 171,Introduction to UNIX and Linux,2,N,N
COMSC 200,Object Oriented Programming C++,4,COMSC 165,N
COMSC 210,Program Design and Data Structures,4,COMSC 165,N
COMSC 230,Discrete Mathematical Structures for Computer Science,3,COMSC 165,N
COMSC 240,Advanced Python Programming,3,COMSC 140,N
COMSC 255,Programming with Java,4,N,N
COMSC 256,Advanced Java Programming,4,COMSC 255,N
COMSC 260,Assembly Language Programming/Computer Organization,4,N,N
,,,,
Construction,Construction,Construction,Construction,Construction
CONST 116,Plane Surveying,4,N,N
,,,,
Counseling,Counseling,Counseling,Counseling,Counseling
COUNS 100,New Student Success Strategies,1,N,N
COUNS 120,Student Success,3,N,N
COUNS 125,Student Strategies for Happiness and Well-being,3,N,N
COUNS 140,Student Success for International Students,3,N,N
,,,,
Dance,Dance,Dance,Dance,Dance
DANCE 100,Introduction to Dance,1,N,N
DANCE 105A,Pilates Mat Work I,1,N,N
DANCE 105B,Pilates Mat Work II,1,N,N
DANCE 110A,Ballet Fundamentals I,1,N,N
DANCE 110B,Ballet Fundamentals II,1,N,N
DANCE 120A,Jazz Dance Fundamentals I,1,N,N
DANCE 120B,Jazz Dance Fundamentals II,1,N,N
DANCE 130A,Modern Dance Fundamentals I,1,N,N
DANCE 130B,Modern Dance Fundamentals II,1,N,N
DANCE 160A,Tap Dance I,1,N,N
DANCE 160B,Tap Dance II,1,N,N
DANCE 162A,Broadway Dance I,1,N,N
DANCE 164A,Ballroom/Social Dance I,1,N,N
DANCE 164B,Ballroom/Social Dance II,1,N,N
DANCE 166,Swing Dance,1,N,N
DANCE 168A,Salsa and Latin Dance I,1,N,N
DANCE 168B,Salsa and Latin Dance II,1,N,N
DANCE 169A,Argentine Tango I,1,N,N
DANCE 170A,Hip-Hop and Urban Funk Dance I,1,N,N
DANCE 170B,Hip-Hop and Urban Funk Dance II,1,N,N
DANCE 200,Dance Appreciation,3,N,N
DANCE 201,Critical Thinking in Western Culture Dance History: 20th Century to Present,3,N,N
DANCE 205,Music Theory for Dancers,2,N,N
DANCE 212,Ballet I,1,N,N
DANCE 213,Ballet II,1,N,N
DANCE 214,Ballet III,1,N,N
DANCE 216,Pointe Technique,1,N,N
DANCE 222,Jazz Dance I,1,N,N
DANCE 223,Jazz Dance II,1,N,N
DANCE 224,Jazz Dance III,1,N,N
DANCE 232,Modern Dance I,1,N,N
DANCE 233,Modern Dance II,1,N,N
DANCE 234,Modern Dance III,1,N,N
DANCE 242,Repertory Dance Production I,1,N,N
DANCE 243,Repertory Dance Production I - Tech Week,0.5,N,N
DANCE 244,Repertory Dance Production II,1,N,N
DANCE 245,Repertory Dance Production II - Tech Week,0.5,N,N
DANCE 246,Dance Production I,1.5,N,N
DANCE 247,Dance Production I - Tech Week,0.5,N,N
DANCE 248,Dance Production II,1.5,N,N
DANCE 249,Dance Production II - Tech Week,0.5,N,N
DANCE 250,Dance Choreography,2,N,N
DANCE 256,Dance Production Choreography,1.5,N,N
DANCE 257,Dance Production Choreography - Tech Week,0.5,N,N
,,,,
Drama,Drama,Drama,Drama,Drama
DRAMA 111,Introduction to Lighting Design,3,N,N
DRAMA 112,Introduction to Stage Makeup,3,N,N
DRAMA 113,Introduction to Costume Design,3,N,N
DRAMA 114,Script Analysis,3,N,N
DRAMA 122,Basic Principles of Acting,3,N,N
DRAMA 123,Intermediate Principles of Acting,3,N,N
DRAMA 124,Advanced Principles of Acting,6,N,N
DRAMA 125,Advanced Styles in Scene Study: From Shakespeare to Shaw,6,N,N
DRAMA 126,Auditioning and Preparation for the Camera,3,N,N
DRAMA 130,Principles of Directing,3,N,N
DRAMA 139,Introduction to Theater,3,N,N
DRAMA 142,Multicultural Perspective in American Theater,3,N,N
DRAMA 170,Introduction to Musical Theater,3,N,N
DRAMA 171,Musical Theater II,3,N,N
DRAMA 200,Introduction to Technical Theater,3,N,N
DRAMA 201,Technical Theater Laboratory,1.00 - 2.00,N,N
DRAMA 202,Fundamentals of Stage Production - Technical Theater,1.00 - 2.00,N,N
DRAMA 230,Directing Projects,1.00 - 2.00,N,N
DRAMA 260,Technical Theater Practicum,1.00 - 2.00,N,N
DRAMA 270,Stage Production,1.00 - 2.00,N,N
DRAMA 275,Musical Theater Production,1.00 - 2.00,N,N
,,,,
Early Childhood Education,Early Childhood Education,Early Childhood Education,Early Childhood Education,Early Childhood Education
ECE 124,Child Development and Psychology,3,N,N
,,,,
Economics,Economics,Economics,Economics,Economics
ECON 101,Economics of Public Issues,3,N,N
ECON 200,Introduction to Economics,3,N,N
ECON 210,Economic Justice,3,N,N
ECON 220,Principles of Macroeconomics,3,N,N
ECON 221,Principles of Microeconomics,3,N,N
,,,,
Education,Education,Education,Education,Education
EDUC 120,Introduction to Teaching in Elementary Schools,3,N,N
,,,,
Education - Special Education,Education - Special Education,Education - Special Education,Education - Special Education,Education - Special Education
EDUSP 101,Introduction to Disabilities,3,N,N
EDUSP 102,Historical Perspectives of Disabilities and the Law,3,N,N
,,,,
Engineering,Engineering,Engineering,Engineering,Engineering
ENGIN 110,Introduction to Engineering,3,N,N
ENGIN 120,Engineering Drawing,3,N,N
ENGIN 121,Engineering Drawing/Descriptive Geometry,3,N,N
ENGIN 130,"Energy, Society, and the Environment",3,N,N
ENGIN 131,Technology and Society,3,N,N
ENGIN 135,Programming for Scientists and Engineers,4,MATH 192,N
