Class,Title,Units,Prereq,Coreq
KNICA 202B,"Intercollegiate Basketball-B, Men",1,N,N
KNICA 203A,"Intercollegiate Basketball-A, Women",2,N,N
KNICA 203B,"Intercollegiate Basketball-B, Women",1,N,N
KNICA 204,"Intercollegiate Cross Country, Men",3,N,N
KNICA 205,"Intercollegiate Cross Country, Women",3,N,N
KNICA 206,"Intercollegiate Football, Men",3,N,N
KNICA 209,"Intercollegiate Soccer, Men",3,N,N
KNICA 210,"Intercollegiate Soccer, Women",3,N,N
KNICA 215,"Intercollegiate Softball, Women",3,N,N
KNICA 216,"Intercollegiate Swimming and Diving, Men",3,N,N
KNICA 217,"Intercollegiate Swimming and Diving, Women",3,N,N
KNICA 218,"Intercollegiate Tennis, Men",3,N,N
KNICA 219,"Intercollegiate Tennis, Women",3,N,N
KNICA 220,"Intercollegiate Track and Field, Men",3,N,N
KNICA 221,"Intercollegiate Track and Field, Women",3,N,N
KNICA 223,"Intercollegiate Volleyball, Women",3,N,N
KNICA 224,"Intercollegiate Water Polo, Men",3,N,N
KNICA 225,"Intercollegiate Water Polo, Women",3,N,N
,,,,
Library Studies,Library Studies,Library Studies,Library Studies,Library Studies
LS 121,Information Literacy and Research Skills,1,N,N
,,,,
Mathematics,Mathematics,Mathematics,Mathematics,Mathematics
MATH 124,Mathematics for Liberal Arts,3,N,N
MATH 125,Mathematical Concepts for Elementary School Teachers,3,N,N
MATH 135,College Algebra,4,N,N
MATH 135SP,MATH 135SP College Algebra - Self-Paced,4,N,N
MATH 142,Elementary Statistics with Probability,4,N,N
MATH 181,Finite Mathematics,3,N,N
MATH 182,"Calculus for Management, Life Science, and Social Science I",4,N,N
MATH 183,"Calculus for Management, Life Science, and Social Science II",4,MATH 182,N
MATH 191,Pre-Calculus,5,N,N
MATH 191SP,MATH 191SP Pre-Calculus - Self Paced,5,N,N
MATH 192,Analytic Geometry and Calculus I,5,N,N
MATH 193,Analytic Geometry and Calculus II,5,MATH 192,N
MATH 194,Linear Algebra,3,MATH 193,N
MATH 195,Discrete Mathematics,4,N,MATH 193
MATH 289,Introduction to Upper Division Mathematics,4,MATH 193,N
MATH 292,Analytic Geometry and Calculus III,5,MATH 193,N
MATH 294,Differential Equations,5,MATH 292,N
,,,,
Music,Music,Music,Music,Music
MUSIC 100,Applied Music,1,N,N
MUSIC 103,Guitar Ensemble,1,N,N
MUSIC 104,Advanced Guitar Ensemble,1,N,N
MUSIC 108,Rock Theory and Improvisation I,1,N,N
MUSIC 109,Live Music Production and Stagecraft I,1,N,N
MUSIC 110,Music Appreciation,3,N,N
MUSIC 112,America's Music - A Multicultural Perspective,3,N,N
MUSIC 114,World Music,3,N,N
MUSIC 115,Music of the Middle East/North Africa and South Asia,3,N,N
MUSIC 117,History of Rock and R&B,3,N,N
MUSIC 118,History of Jazz,3,N,N
MUSIC 119,The History and Culture of Hip Hop Music,3,N,N
MUSIC 121,Introduction to Music Composition,3,N,N
MUSIC 122,Theory and Musicianship I,4,N,N
MUSIC 123,Theory and Musicianship II,4,N,N
MUSIC 127,Jazz Theory and Improvisation I,2,N,N
MUSIC 128,Jazz Theory and Improvisation II,2,N,N
MUSIC 129,Counterpoint,3,N,N
MUSIC 130,Jazz Workshop,1,N,N
MUSIC 131,World Music Repertoire,1,N,N
MUSIC 133,Opera Theater,1,N,N
MUSIC 134,Musical Theater Workshop,1,N,N
MUSIC 135,Vocal Jazz Ensemble,1,N,N
MUSIC 136,Jazz Ensemble,1,N,N
MUSIC 137,Jazz Combos,1.00 - 2.00,N,N
MUSIC 140,Wind Ensemble,1,N,N
MUSIC 142,Woodwind Ensemble,1,N,N
MUSIC 144,Brass Ensemble,1,N,N
MUSIC 150,Beginning Piano I,1,N,N
MUSIC 151,Beginning Piano II,1,N,N
MUSIC 152,Jazz Piano,1,N,N
MUSIC 160,Beginning Guitar I,1,N,N
MUSIC 161,Beginning Guitar II,1,N,N
MUSIC 162,Concert Choir,1,N,N
MUSIC 166,Chamber Singers,1.00 - 2.00,N,N
MUSIC 168,Percussion Ensemble,1,N,N
MUSIC 170,Applied Voice Training,1,N,N
MUSIC 171,Jazz and Popular Solo Voice,1,N,N
MUSIC 176,String Ensemble,1,N,N
MUSIC 179,Intermediate Applied Voice,1,N,N
MUSIC 180,Diablo Valley Masterworks Chorale,1,N,N
MUSIC 185,Pop and Rock Repertoire,1,N,N
MUSIC 186,"R&B, Hip Hop, and Funk Repertoire",1,N,N
MUSIC 187,"Country, Bluegrass, and Folk Repertoire",1,N,N
MUSIC 208,Rock Theory and Improvisation II,1,N,N
MUSIC 209,Live Music Production and Stagecraft II,1,N,N
MUSIC 221,Advanced Music Composition,3,N,N
MUSIC 222,Theory and Musicianship III,4,N,N
MUSIC 223,Theory and Musicianship IV,4,N,N
MUSIC 236,Night Jazz Band,1,N,N
MUSIC 240,Symphonic Band,1,N,N
MUSIC 250,Intermediate Piano I,1,N,N
MUSIC 251,Intermediate Piano II,1,N,N
MUSIC 252,Piano Ensemble,1,N,N
MUSIC 255,Piano Repertoire Master Class,1,N,N
MUSIC 262,Intermediate Guitar I,1,N,N
MUSIC 263,Intermediate Guitar II,1,N,N
MUSIC 290,Philharmonic Orchestra,1,N,N
,,,,
Music Industry Studies,Music Industry Studies,Music Industry Studies,Music Industry Studies,Music Industry Studies
MUSX 110,History of Electronic Music,3,N,N
,,,,
Nutrition,Nutrition,Nutrition,Nutrition,Nutrition
NUTRI 115,Nutrition and Health: Personal Applications,3,N,Nutrition
NUTRI 130,Food and Nutrition: Cross Cultural Perspectives,3,N,N
NUTRI 160,Nutrition: Science and Applications,3,N,N
NUTRI 170,Nutrition: Across the Life Span,3,N,N
,,,,
Oceanography,Oceanography,Oceanography,Oceanography,Oceanography
OCEAN 101,Fundamentals of Oceanography,3,N,N
OCEAN 102,Fundamentals of Oceanography with Laboratory,4,N,N
,,,,
Persian,Persian,Persian,Persian,Persian
PERSN 120,First Term Persian,5,N,N
PERSN 121,Second Term Persian,5,PERSN 120,N
,,,,
Philosophy,Philosophy,Philosophy,Philosophy,Philosophy
PHILO 120,Introduction to Philosophy,3,N,N
PHILO 122,Introduction to Ethics,3,N,N
PHILO 130,Logic and Critical Thinking,3,ENGL 122,N
PHILO 140,Introduction to Judeo-Christian Tradition,3,N,N
PHILO 141,Introduction to the Philosophy of Religion,3,N,N
PHILO 145,Introduction to Asian Philosophy,3,N,N
PHILO 160,Introduction to Social and Political Philosophy,3,N,N
PHILO 170,Symbolic Logic,3,N,N
PHILO 220,Comparative Religion,3,N,N
PHILO 224,History of Western Philosophy: Pre-Socratic to Medieval Period,3,N,N
PHILO 225,History of Western Philosophy: Descartes to Present,3,N,N
,,,,
Physical Science,Physical Science,Physical Science,Physical Science,Physical Science
PHYSC 112,Fundamentals of Physical Science,3,N,N
,,,,
Physics,Physics,Physics,Physics,Physics
PHYS 110,Elementary Physics,3,N,N
PHYS 111,Physics Laboratory,1,N,PHYS 110
PHYS 112,Elementary Physics with Laboratory,4,N,N
PHYS 113,Elementary Modern Physics: From Atoms to the Big Bang,3,N,N
PHYS 120,General College Physics I,4,N,N
PHYS 121,General College Physics II,4,PHYS 120,N
PHYS 124,Calculus Supplement for Physics 120,0.5,PHYS 120,MATH 192
PHYS 125,Calculus Supplement for Physics 121,0.5,N,PHYS 121-MATH 193
PHYS 129,Introductory Physics for Engineers,4,N,MATH 192
PHYS 130,Physics for Engineers and Scientists A: Mechanics and Wave Motion,4,N,MATH 193
PHYS 230,Physics for Engineers and Scientists B: Heat and Electro-Magnetism,4,PHYS 130,MATH 292
PHYS 231,Physics for Engineers and Scientists C: Optics and Modern Physics,4,PHYS 230,MATH 294
,,,,
Political Science,Political Science,Political Science,Political Science,Political Science
POLSC 120,Introduction to Politics,3,N,N
POLSC 121,Introduction to United States Government,3,N,N
POLSC 122,Latinx Politics and American Government,3,N,N
POLSC 123,Black Politics and American Government,3,N,N
POLSC 127,Introduction to Law and Democracy,3,N,N
POLSC 151,California Politics,3,N,N
POLSC 210,Political Ideology,3,N,N
POLSC 220,Comparative Politics,3,N,N
POLSC 240,Political Theory,3,N,N
POLSC 250,International Relations,3,N,N
POLSC 252,Model United Nations,3,N,N
,,,,
Psychology,Psychology,Psychology,Psychology,Psychology
PSYCH 101,Introduction to Psychology,3,N,N
PSYCH 122,Psychology in Modern Life,3,N,N
PSYCH 130,Introduction to Biological Psychology,3,PSYCH 101,N
PSYCH 140,Psychology of African-Americans in a Multicultural Society,3,N,N
PSYCH 141,Psychology of Latinos/Chicanos in the U.S.,3,N,N
PSYCH 145,Critical Thinking in Psychology,3,ENGL 122,N
PSYCH 160,Psychology of Women,3,N,N
PSYCH 190,Psychology of Adolescence,3,N,N
PSYCH 195,Psychology of Adult Development and Aging,3,N,N
PSYCH 200,Life Span Development,3,N,N
PSYCH 214,Introduction to Statistics for Psychology,4,N,N
PSYCH 215,Introduction to Research Methods in Psychology,3,PSYCH 101-PSYCH 214,N
PSYCH 220,"Psychology of Personality: Personal, Social, Cultural Differences",3,N,N
PSYCH 225,Social Psychology,3,N,N
PSYCH 230,Abnormal Psychology,3,N,N
PSYCH 240,Transpersonal Psychology,3,N,N
,,,,
Public Health,Public Health,Public Health,Public Health,Public Health
PH 124,Health and Wellness,3,N,N
PH 127,"Drugs, Health, and Society",3,N,N
PH 130,Introduction to Community and Public Health,3,N,N
PH 135,Health and Social Justice,3,N,N
PH 137,Cultural Competence in Health and Social Service,3,N,N
PH 140,Human Sexuality,3,N,N
PH 164,Health and Healing Systems: Cross-Cultural Perspectives,3,N,N
PH 170,Women's Health,3,N,N
PH 230,Advanced First Aid/CPR,3,N,N
,,,,
Russian,Russian,Russian,Russian,Russian
RUSS 120,First Term Russian,5,N,N
RUSS 121,Second Term Russian,5,RUSS 120,N
RUSS 220,Third Term Russian,5,RUSS 121,N
RUSS 221,Fourth Term Russian,5,RUSS 220,N
,,,,
Sign Language,Sign Language,Sign Language,Sign Language,Sign Language
SIGN 280,American Sign Language (ASL) I,3,N,N
SIGN 281,American Sign Language (ASL) II,3,SIGN 280,N
SIGN 282,American Sign Language (ASL) III,3,SIGN 281,N
SIGN 283,American Sign Language (ASL) IV,3,SIGN 282,N
,,,,
Social Science,Social Science,Social Science,Social Science,Social Science
SOCSC 101,Introduction to Social Justice,3,N,N
SOCSC 110,The American Social Experience,3,N,N
SOCSC 111,"Money, Power, and Politics in the United States",3,N,N
SOCSC 120,Women and Social Change in the United States 1890-Present,3,N,N
SOCSC 123,American Popular Culture,3,N,N
SOCSC 220,Women in United States Society,3,N,N
,,,,
Sociology,Sociology,Sociology,Sociology,Sociology
SOCIO 120,Introduction to Sociology,3,N,N
SOCIO 121,Introduction to Social Problems,3,N,N
SOCIO 122,Critical Thinking About Social and Cultural Issues,3,ENGL 122,N
SOCIO 123,Introduction to Social Research,3,SOCIO 120,N
SOCIO 124,"Gender, Culture, and Society",3,N,N
SOCIO 125,"Families, Relationships, and Commitment",3,N,N
SOCIO 131,The Urban Community,3,N,N
SOCIO 135,Introduction to Race and Ethnicity,3,N,N
,,,,
Spanish,Spanish,Spanish,Spanish,Spanish
SPAN 120,First Term Spanish,5,N,N
SPAN 121,Second Term Spanish,5,SPAN 120,N
SPAN 220,Third Term Spanish,5,SPAN 121,N
SPAN 221,Fourth Term Spanish,5,SPAN 220,N
SPAN 230,Fifth Term Spanish,3,SPAN 221,N
SPAN 231,Sixth Term Spanish,3,SPAN 230,N
SPAN 240,Spanish for Heritage Speakers I,5,N,N
SPAN 241,Spanish for Heritage Speakers II,5,SPAN 240,N
